54132.00ms : -0.38;-0.21;0.30;-93.69;71.84;-130.31
54152.00ms : -0.31;-0.16;0.32;-98.27;79.83;-131.23
54172.00ms : -0.30;-0.03;0.38;-100.46;83.07;-128.17
54192.00ms : -0.26;0.06;0.41;-104.49;75.20;-115.97
54212.00ms : -0.22;0.08;0.41;-109.25;66.65;-102.29
54232.00ms : -0.18;0.11;0.44;-113.65;56.09;-92.53
54252.00ms : -0.17;0.16;0.43;-123.78;45.78;-87.65
54272.00ms : -0.15;0.22;0.37;-130.00;44.56;-80.26
54292.00ms : -0.13;0.26;0.45;-133.97;47.79;-81.05
54312.00ms : -0.08;0.32;0.44;-133.30;43.46;-81.12
54332.00ms : -0.07;0.45;0.47;-127.01;43.82;-75.44
54352.00ms : -0.09;0.58;0.54;-122.38;35.16;-64.64
